,Date,Country,City,Specie,count,min,max,median,variance
451395,2020-01-12,CL,Santiago,pm25,240,51.0,64.0,56.0,100.72
451396,2020-01-25,CL,Santiago,pm25,194,49.0,67.0,57.0,138.65
451397,2020-02-27,CL,Santiago,pm25,240,52.0,76.0,59.0,352.87
451398,2020-03-04,CL,Santiago,pm25,240,61.0,82.0,69.0,181.03
451399,2020-04-01,CL,Santiago,pm25,216,53.0,76.0,64.0,253.12
451400,2020-02-02,CL,Santiago,pm25,239,44.0,75.0,57.0,334.59
451401,2020-02-08,CL,Santiago,pm25,239,42.0,70.0,60.0,507.73
451402,2020-03-12,CL,Santiago,pm25,239,13.0,76.0,58.0,1699.06
451403,2020-04-07,CL,Santiago,pm25,216,46.0,80.0,61.0,675.69
451404,2020-04-30,CL,Santiago,pm25,216,45.0,100.0,70.0,787.3
451405,2020-01-24,CL,Santiago,pm25,226,42.0,59.0,50.0,181.37
451406,2020-01-30,CL,Santiago,pm25,240,39.0,65.0,53.0,381.06
451407,2020-03-20,CL,Santiago,pm25,171,4.0,82.0,60.0,4946.9
451408,2020-04-02,CL,Santiago,pm25,216,46.0,89.0,68.0,1253.01
451409,2020-01-20,CL,Santiago,pm25,228,56.0,69.0,62.0,116.27
451410,2020-01-28,CL,Santiago,pm25,240,45.0,65.0,57.0,230.4
451411,2020-02-07,CL,Santiago,pm25,240,37.0,76.0,53.0,735.12
451412,2020-02-13,CL,Santiago,pm25,240,49.0,82.0,62.0,527.32
451413,2020-02-28,CL,Santiago,pm25,240,54.0,81.0,63.0,357.06
451414,2020-04-04,CL,Santiago,pm25,216,65.0,113.0,86.0,823.16
451416,2020-01-16,CL,Santiago,pm25,232,43.0,77.0,59.0,541.08
451417,2020-01-18,CL,Santiago,pm25,230,62.0,79.0,71.0,177.79
451418,2020-01-19,CL,Santiago,pm25,240,59.0,78.0,67.0,187.51
451419,2020-02-23,CL,Santiago,pm25,240,53.0,73.0,62.0,146.05
451420,2020-04-09,CL,Santiago,pm25,212,64.0,90.0,80.0,267.44
451421,2020-04-23,CL,Santiago,pm25,216,63.0,89.0,77.0,239.18
451422,2020-05-01,CL,Santiago,pm25,216,64.0,155.0,95.0,6739.33
451423,2020-01-13,CL,Santiago,pm25,240,51.0,64.0,55.0,100.83
451424,2020-03-18,CL,Santiago,pm25,208,4.0,73.0,60.0,2261.77
451426,2020-01-14,CL,Santiago,pm25,240,50.0,65.0,57.0,135.9
451427,2020-02-26,CL,Santiago,pm25,230,53.0,77.0,64.0,334.12
451428,2020-03-13,CL,Santiago,pm25,231,12.0,62.0,49.0,1700.96
451429,2020-01-27,CL,Santiago,pm25,240,50.0,66.0,56.0,143.74
451430,2020-02-21,CL,Santiago,pm25,214,64.0,86.0,72.0,231.12
451431,2020-03-05,CL,Santiago,pm25,240,67.0,92.0,75.0,287.74
451432,2020-02-09,CL,Santiago,pm25,240,38.0,76.0,59.0,601.97
451433,2020-03-09,CL,Santiago,pm25,223,47.0,73.0,57.0,246.35
451434,2020-03-22,CL,Santiago,pm25,179,6.0,66.0,52.0,3343.68
451435,2020-04-06,CL,Santiago,pm25,216,36.0,76.0,58.0,371.65
451436,2020-04-19,CL,Santiago,pm25,216,58.0,116.0,74.0,1310.32
451437,2020-04-24,CL,Santiago,pm25,216,57.0,84.0,75.0,481.25
451438,2020-04-26,CL,Santiago,pm25,216,37.0,92.0,63.0,1618.79
