,Date,Country,City,Specie,count,min,max,median,variance
255745,2020-03-14,CA,Surrey,pm25,84,2.0,33.0,9.0,329.86
255746,2020-04-01,CA,Surrey,pm25,91,3.0,29.0,14.0,404.59
255747,2020-05-04,CA,Surrey,pm25,92,6.0,39.0,11.0,506.37
255748,2020-02-09,CA,Surrey,pm25,66,5.0,65.0,20.0,1894.93
255749,2020-02-14,CA,Surrey,pm25,69,3.0,45.0,12.0,569.8
255750,2020-03-10,CA,Surrey,pm25,92,5.0,37.0,18.0,646.77
255751,2020-03-17,CA,Surrey,pm25,92,13.0,68.0,31.0,1166.44
255752,2020-04-11,CA,Surrey,pm25,92,4.0,61.0,13.0,1635.66
255753,2020-04-19,CA,Surrey,pm25,24,15.0,44.0,18.0,769.4
255754,2020-02-27,CA,Surrey,pm25,92,3.0,30.0,14.0,400.4
255755,2020-02-29,CA,Surrey,pm25,88,1.0,46.0,8.0,866.72
255756,2020-03-09,CA,Surrey,pm25,92,4.0,37.0,16.0,605.6
255757,2020-03-25,CA,Surrey,pm25,91,5.0,66.0,12.0,1315.0
255758,2020-01-17,CA,Surrey,pm25,92,4.0,59.0,19.0,1052.27
255759,2020-02-12,CA,Surrey,pm25,69,8.0,70.0,25.0,1695.96
255760,2020-04-27,CA,Surrey,pm25,88,5.0,30.0,12.0,396.14
255761,2020-04-28,CA,Surrey,pm25,92,5.0,36.0,14.0,380.6
255762,2020-01-09,CA,Surrey,pm25,92,5.0,67.0,22.0,2240.14
255763,2020-01-15,CA,Surrey,pm25,86,2.0,20.0,13.0,152.82
255764,2020-04-08,CA,Surrey,pm25,91,18.0,56.0,30.0,852.65
255765,2020-01-14,CA,Surrey,pm25,92,5.0,26.0,13.0,267.02
255766,2020-03-01,CA,Surrey,pm25,92,5.0,45.0,12.0,1058.5
255767,2020-04-15,CA,Surrey,pm25,92,12.0,58.0,25.0,1121.72
255768,2020-01-31,CA,Surrey,pm25,90,1.0,55.0,8.0,758.98
255769,2020-02-20,CA,Surrey,pm25,69,14.0,62.0,29.0,1920.45
255770,2020-03-11,CA,Surrey,pm25,87,4.0,36.0,15.0,525.2
255771,2020-04-23,CA,Surrey,pm25,92,5.0,61.0,18.0,2641.65
255772,2020-03-13,CA,Surrey,pm25,85,1.0,25.0,5.0,422.74
255773,2020-01-10,CA,Surrey,pm25,86,1.0,21.0,8.0,319.56
255774,2020-01-20,CA,Surrey,pm25,66,4.0,59.0,12.0,739.73
255775,2020-02-11,CA,Surrey,pm25,69,14.0,54.0,33.0,1111.0
255776,2020-03-06,CA,Surrey,pm25,92,5.0,43.0,17.0,745.74
255777,2020-03-31,CA,Surrey,pm25,76,5.0,35.0,13.0,447.02
255778,2019-12-31,CA,Surrey,pm25,69,3.0,39.0,6.0,243.97
255779,2020-01-28,CA,Surrey,pm25,88,1.0,32.0,10.0,705.91
255780,2020-02-03,CA,Surrey,pm25,83,1.0,59.0,13.0,1782.59
255781,2020-04-24,CA,Surrey,pm25,92,6.0,32.0,12.0,297.44
255782,2020-05-05,CA,Surrey,pm25,85,13.0,43.0,23.0,505.38
255783,2020-01-08,CA,Surrey,pm25,92,4.0,33.0,9.0,301.16
255784,2020-01-12,CA,Surrey,pm25,78,1.0,32.0,6.0,500.13
255785,2020-01-24,CA,Surrey,pm25,92,3.0,52.0,11.0,1219.23
255786,2020-04-20,CA,Surrey,pm25,64,15.0,53.0,28.0,1121.92
255787,2020-01-13,CA,Surrey,pm25,92,5.0,74.0,10.0,572.41
255788,2020-02-17,CA,Surrey,pm25,69,6.0,57.0,22.0,1155.75
255789,2020-03-08,CA,Surrey,pm25,84,3.0,76.0,16.0,3254.34
255790,2020-05-06,CA,Surrey,pm25,92,4.0,44.0,9.0,610.34
255791,2020-01-03,CA,Surrey,pm25,90,2.0,35.0,11.0,827.02
255792,2020-03-19,CA,Surrey,pm25,91,18.0,62.0,45.0,1963.31
255793,2020-03-24,CA,Surrey,pm25,92,1.0,57.0,8.0,1080.98
255794,2020-03-27,CA,Surrey,pm25,92,8.0,55.0,28.0,1605.05
255795,2020-03-30,CA,Surrey,pm25,88,2.0,24.0,8.0,162.46
255796,2020-04-06,CA,Surrey,pm25,88,12.0,54.0,20.0,1136.29
255797,2020-02-10,CA,Surrey,pm25,69,16.0,53.0,30.0,837.51
255798,2020-03-04,CA,Surrey,pm25,92,5.0,45.0,13.0,497.8
255799,2020-03-26,CA,Surrey,pm25,92,9.0,56.0,23.0,971.29
255800,2020-03-28,CA,Surrey,pm25,92,4.0,30.0,8.0,430.69
255801,2020-01-18,CA,Surrey,pm25,76,3.0,45.0,13.0,1246.93
255802,2020-04-14,CA,Surrey,pm25,88,9.0,56.0,29.0,1285.29
255803,2020-01-05,CA,Surrey,pm25,90,1.0,45.0,13.0,1416.71
255804,2020-04-09,CA,Surrey,pm25,92,16.0,59.0,35.0,1149.33
255805,2020-04-18,CA,Surrey,pm25,84,21.0,68.0,32.0,1388.89
255806,2020-02-08,CA,Surrey,pm25,85,2.0,55.0,15.0,1488.82
255807,2020-02-25,CA,Surrey,pm25,92,7.0,31.0,14.0,344.88
255808,2020-04-13,CA,Surrey,pm25,92,7.0,44.0,20.0,618.23
255809,2020-02-15,CA,Surrey,pm25,66,1.0,60.0,10.0,1416.71
255810,2020-02-16,CA,Surrey,pm25,69,4.0,35.0,13.0,380.39
255811,2020-04-30,CA,Surrey,pm25,91,6.0,54.0,13.0,676.9
255812,2020-01-16,CA,Surrey,pm25,92,2.0,63.0,21.0,2284.06
255813,2020-02-18,CA,Surrey,pm25,69,6.0,47.0,17.0,793.21
255814,2020-02-28,CA,Surrey,pm25,91,1.0,50.0,18.0,1343.62
255815,2020-04-04,CA,Surrey,pm25,68,5.0,34.0,10.0,361.08
255816,2020-01-11,CA,Surrey,pm25,76,3.0,45.0,16.0,825.22
255817,2020-04-03,CA,Surrey,pm25,88,4.0,32.0,13.0,455.06
255818,2020-04-29,CA,Surrey,pm25,92,5.0,50.0,20.0,890.79
255819,2020-01-29,CA,Surrey,pm25,92,3.0,36.0,10.0,688.9
255820,2020-02-19,CA,Surrey,pm25,66,3.0,50.0,21.0,1573.1
255821,2020-04-22,CA,Surrey,pm25,91,2.0,39.0,10.0,654.08
255822,2020-04-07,CA,Surrey,pm25,92,16.0,59.0,27.0,921.09
255823,2020-01-30,CA,Surrey,pm25,88,1.0,28.0,12.0,471.11
255824,2020-02-13,CA,Surrey,pm25,69,4.0,29.0,15.0,430.04
255825,2020-02-24,CA,Surrey,pm25,89,3.0,43.0,16.0,505.68
255826,2020-03-02,CA,Surrey,pm25,46,2.0,43.0,10.0,1804.54
255827,2020-04-10,CA,Surrey,pm25,92,9.0,60.0,32.0,2252.3
255828,2020-05-02,CA,Surrey,pm25,92,7.0,36.0,17.0,667.29
255829,2020-05-07,CA,Surrey,pm25,87,6.0,33.0,18.0,540.18
255830,2020-01-27,CA,Surrey,pm25,92,1.0,20.0,9.0,219.47
255831,2020-02-04,CA,Surrey,pm25,92,4.0,38.0,19.0,962.86
255832,2020-02-26,CA,Surrey,pm25,88,7.0,73.0,23.0,1466.97
255833,2020-03-20,CA,Surrey,pm25,89,22.0,74.0,43.0,2467.37
255834,2020-02-23,CA,Surrey,pm25,66,1.0,39.0,8.0,724.71
255835,2020-03-21,CA,Surrey,pm25,92,22.0,63.0,39.0,1377.9
255836,2020-03-29,CA,Surrey,pm25,88,2.0,21.0,8.0,177.65
256413,2020-01-24,CA,Mississauga,pm25,66,30.0,82.0,46.0,1490.79
256414,2020-03-27,CA,Mississauga,pm25,55,5.0,112.0,21.0,4241.06
