item_id,date,p10,p50,p90
247,2020-05-06T00:00:00Z,1057.8780517578,1148.3170166016,1230.3015136719
247,2020-05-07T00:00:00Z,1062.8408203125,1129.7320556641,1209.6490478516
247,2020-05-08T00:00:00Z,1053.7270507812,1133.765625,1221.9161376953
247,2020-05-09T00:00:00Z,1050.3056640625,1132.8985595703,1234.9036865234
247,2020-05-10T00:00:00Z,1053.1378173828,1146.0178222656,1231.9814453125
247,2020-05-11T00:00:00Z,973.3358764648,1111.0983886719,1203.9283447266
247,2020-05-12T00:00:00Z,989.2710571289,1103.3411865234,1212.3083496094
247,2020-05-13T00:00:00Z,997.3544921875,1107.8444824219,1230.8394775391
247,2020-05-14T00:00:00Z,1014.674987793,1109.8811035156,1233.1879882812
247,2020-05-15T00:00:00Z,1001.8609619141,1116.2012939453,1213.9805908203
247,2020-05-16T00:00:00Z,1009.2105712891,1114.4604492188,1193.2412109375
576,2020-05-03T00:00:00Z,1124.3895263672,1162.7559814453,1214.7534179688
576,2020-05-04T00:00:00Z,1069.5267333984,1150.6710205078,1206.1890869141
576,2020-05-05T00:00:00Z,1066.4855957031,1136.2609863281,1229.2330322266
576,2020-05-06T00:00:00Z,1060.3406982422,1147.1682128906,1227.3868408203
576,2020-05-07T00:00:00Z,1040.0609130859,1148.9542236328,1219.8214111328
576,2020-05-08T00:00:00Z,1040.9468994141,1139.23828125,1234.5792236328
576,2020-05-09T00:00:00Z,1062.6602783203,1138.9748535156,1216.8756103516
576,2020-05-10T00:00:00Z,1065.7669677734,1151.5227050781,1268.0606689453
576,2020-05-11T00:00:00Z,997.7518920898,1101.5328369141,1229.0938720703
576,2020-05-12T00:00:00Z,984.1531982422,1089.3488769531,1176.7686767578
576,2020-05-13T00:00:00Z,981.5587768555,1098.7475585938,1188.6728515625
576,2020-05-14T00:00:00Z,988.3473510742,1106.9692382812,1196.5357666016
576,2020-05-15T00:00:00Z,1017.3671875,1103.6260986328,1248.8537597656
576,2020-05-16T00:00:00Z,981.4918212891,1098.3514404297,1226.9055175781
86,2020-05-03T00:00:00Z,1066.0783691406,1113.5562744141,1163.6538085938
86,2020-05-04T00:00:00Z,1047.4382324219,1099.4016113281,1148.9650878906
86,2020-05-05T00:00:00Z,1012.7805175781,1099.5211181641,1161.9705810547
86,2020-05-06T00:00:00Z,993.3811035156,1102.2391357422,1160.3773193359
86,2020-05-07T00:00:00Z,987.624206543,1091.0458984375,1168.21875
86,2020-05-08T00:00:00Z,1021.6110839844,1101.6356201172,1172.0679931641
86,2020-05-09T00:00:00Z,1007.1479492188,1096.2452392578,1195.7136230469
86,2020-05-10T00:00:00Z,1029.0396728516,1101.5540771484,1169.7761230469
86,2020-05-11T00:00:00Z,926.6075439453,1045.4952392578,1150.2281494141
86,2020-05-12T00:00:00Z,942.1360473633,1044.6922607422,1161.2630615234
86,2020-05-13T00:00:00Z,915.7672119141,1048.8203125,1160.9235839844
86,2020-05-14T00:00:00Z,890.7548217773,1046.0234375,1175.1066894531
86,2020-05-15T00:00:00Z,940.7354736328,1051.1005859375,1186.9530029297
86,2020-05-16T00:00:00Z,959.7810058594,1068.6058349609,1173.8411865234
605,2020-05-03T00:00:00Z,1248.3941650391,1291.5147705078,1348.1403808594
605,2020-05-04T00:00:00Z,1205.7722167969,1269.3775634766,1338.7882080078
605,2020-05-05T00:00:00Z,1199.806640625,1278.0748291016,1355.9114990234
605,2020-05-06T00:00:00Z,1209.3643798828,1273.8817138672,1351.1920166016
605,2020-05-07T00:00:00Z,1184.4124755859,1268.357421875,1349.0571289062
605,2020-05-08T00:00:00Z,1146.1574707031,1253.6076660156,1352.0899658203
605,2020-05-09T00:00:00Z,1158.8337402344,1265.1989746094,1341.0422363281
605,2020-05-10T00:00:00Z,1148.8353271484,1264.7425537109,1330.5167236328
605,2020-05-11T00:00:00Z,1058.6221923828,1217.9517822266,1326.888671875
605,2020-05-12T00:00:00Z,1104.9051513672,1227.9200439453,1384.7504882812
605,2020-05-13T00:00:00Z,1101.5139160156,1219.8980712891,1330.7346191406
605,2020-05-14T00:00:00Z,1078.0710449219,1216.8724365234,1329.5697021484
605,2020-05-15T00:00:00Z,1120.2216796875,1234.4093017578,1343.9053955078
605,2020-05-16T00:00:00Z,1130.5850830078,1238.8699951172,1335.0723876953
461,2020-05-03T00:00:00Z,947.4940795898,990.4061889648,1042.9635009766
461,2020-05-04T00:00:00Z,927.0117797852,984.303894043,1047.8095703125
461,2020-05-05T00:00:00Z,915.4827880859,976.6590576172,1063.7181396484
461,2020-05-06T00:00:00Z,906.4975585938,975.6642456055,1036.2424316406
461,2020-05-07T00:00:00Z,913.8565673828,990.1253662109,1074.5407714844
461,2020-05-08T00:00:00Z,906.8161010742,988.8620605469,1069.1301269531
461,2020-05-09T00:00:00Z,907.6965332031,986.1223144531,1080.0537109375
461,2020-05-10T00:00:00Z,943.1296386719,995.4599609375,1089.5209960938
461,2020-05-11T00:00:00Z,847.5777587891,954.4010009766,1041.96875
461,2020-05-12T00:00:00Z,868.7320556641,941.4378051758,1041.5621337891
461,2020-05-13T00:00:00Z,836.9520263672,938.4911499023,1028.2576904297
461,2020-05-14T00:00:00Z,841.1883544922,947.0642089844,1069.2504882812
461,2020-05-15T00:00:00Z,848.8435058594,965.7470092773,1073.2274169922
461,2020-05-16T00:00:00Z,861.5068359375,963.4215087891,1061.9479980469
281,2020-05-03T00:00:00Z,1066.1514892578,1101.1297607422,1150.5948486328
281,2020-05-04T00:00:00Z,1016.7905273438,1085.1516113281,1129.1721191406
281,2020-05-05T00:00:00Z,1026.3721923828,1084.3817138672,1171.8107910156
281,2020-05-06T00:00:00Z,1011.7059326172,1084.8175048828,1165.7454833984
281,2020-05-07T00:00:00Z,1015.8498535156,1092.3497314453,1183.4720458984
281,2020-05-08T00:00:00Z,987.0853881836,1095.9067382812,1211.2608642578
281,2020-05-09T00:00:00Z,975.1504516602,1092.3797607422,1198.9918212891
281,2020-05-10T00:00:00Z,997.4853515625,1090.6027832031,1195.2132568359
281,2020-05-11T00:00:00Z,936.0854492188,1040.6237792969,1159.662109375
281,2020-05-12T00:00:00Z,880.8494873047,1023.8462524414,1193.0618896484
281,2020-05-13T00:00:00Z,829.5013427734,1020.5249023438,1169.80859375
281,2020-05-14T00:00:00Z,866.3424072266,1028.0648193359,1191.2042236328
281,2020-05-15T00:00:00Z,743.8447875977,1024.2049560547,1188.3253173828
281,2020-05-16T00:00:00Z,850.9522705078,1016.5328369141,1172.3697509766
58,2020-05-03T00:00:00Z,1109.3187255859,1144.9104003906,1212.6668701172
58,2020-05-04T00:00:00Z,1055.6369628906,1134.3095703125,1195.849609375
58,2020-05-05T00:00:00Z,1049.9200439453,1129.2253417969,1193.4522705078
58,2020-05-06T00:00:00Z,1027.4686279297,1134.7864990234,1229.3067626953
58,2020-05-07T00:00:00Z,1036.9965820312,1129.1979980469,1206.1267089844
58,2020-05-08T00:00:00Z,1036.8587646484,1124.8446044922,1202.7487792969
58,2020-05-09T00:00:00Z,1046.8084716797,1121.7845458984,1211.3902587891
58,2020-05-10T00:00:00Z,1025.1746826172,1131.318359375,1237.1721191406
