Date,Daily Mean PM2.5 Concentration,UNITS,DAILY_AQI_VALUE,AQS_PARAMETER_DESC,CBSA_NAME,STATE,COUNTY
3/12/20,8.9,ug/m3 LC,37,PM2.5 - Local Conditions,"Birmingham-Hoover, AL",Alabama,Jefferson
3/13/20,8.8,ug/m3 LC,37,PM2.5 - Local Conditions,"Birmingham-Hoover, AL",Alabama,Jefferson
3/14/20,10.3,ug/m3 LC,43,PM2.5 - Local Conditions,"Birmingham-Hoover, AL",Alabama,Jefferson
3/15/20,5.1,ug/m3 LC,21,PM2.5 - Local Conditions,"Birmingham-Hoover, AL",Alabama,Jefferson
3/16/20,10.5,ug/m3 LC,44,PM2.5 - Local Conditions,"Birmingham-Hoover, AL",Alabama,Jefferson
3/17/20,23.5,ug/m3 LC,75,PM2.5 - Local Conditions,"Birmingham-Hoover, AL",Alabama,Jefferson
3/18/20,16.7,ug/m3 LC,61,PM2.5 - Local Conditions,"Birmingham-Hoover, AL",Alabama,Jefferson
3/20/20,8.4,ug/m3 LC,35,PM2.5 - Local Conditions,"Birmingham-Hoover, AL",Alabama,Jefferson
3/21/20,6.8,ug/m3 LC,28,PM2.5 - Local Conditions,"Birmingham-Hoover, AL",Alabama,Jefferson
3/22/20,7.3,ug/m3 LC,30,PM2.5 - Local Conditions,"Birmingham-Hoover, AL",Alabama,Jefferson
3/23/20,7.2,ug/m3 LC,30,PM2.5 - Local Conditions,"Birmingham-Hoover, AL",Alabama,Jefferson
3/24/20,10.4,ug/m3 LC,43,PM2.5 - Local Conditions,"Birmingham-Hoover, AL",Alabama,Jefferson
3/25/20,7.6,ug/m3 LC,32,PM2.5 - Local Conditions,"Birmingham-Hoover, AL",Alabama,Jefferson
3/26/20,11.5,ug/m3 LC,48,PM2.5 - Local Conditions,"Birmingham-Hoover, AL",Alabama,Jefferson
3/27/20,17.4,ug/m3 LC,62,PM2.5 - Local Conditions,"Birmingham-Hoover, AL",Alabama,Jefferson
3/28/20,14.5,ug/m3 LC,56,PM2.5 - Local Conditions,"Birmingham-Hoover, AL",Alabama,Jefferson
3/29/20,7.9,ug/m3 LC,33,PM2.5 - Local Conditions,"Birmingham-Hoover, AL",Alabama,Jefferson
3/30/20,9.3,ug/m3 LC,39,PM2.5 - Local Conditions,"Birmingham-Hoover, AL",Alabama,Jefferson
3/31/20,6.9,ug/m3 LC,29,PM2.5 - Local Conditions,"Birmingham-Hoover, AL",Alabama,Jefferson
4/1/20,6,ug/m3 LC,25,PM2.5 - Local Conditions,"Birmingham-Hoover, AL",Alabama,Jefferson
4/2/20,7.5,ug/m3 LC,31,PM2.5 - Local Conditions,"Birmingham-Hoover, AL",Alabama,Jefferson
4/3/20,14.7,ug/m3 LC,56,PM2.5 - Local Conditions,"Birmingham-Hoover, AL",Alabama,Jefferson
4/4/20,12.8,ug/m3 LC,52,PM2.5 - Local Conditions,"Birmingham-Hoover, AL",Alabama,Jefferson
4/5/20,14.7,ug/m3 LC,56,PM2.5 - Local Conditions,"Birmingham-Hoover, AL",Alabama,Jefferson
4/6/20,20.5,ug/m3 LC,69,PM2.5 - Local Conditions,"Birmingham-Hoover, AL",Alabama,Jefferson
4/7/20,16.5,ug/m3 LC,60,PM2.5 - Local Conditions,"Birmingham-Hoover, AL",Alabama,Jefferson
4/8/20,13.2,ug/m3 LC,53,PM2.5 - Local Conditions,"Birmingham-Hoover, AL",Alabama,Jefferson
4/9/20,7.2,ug/m3 LC,30,PM2.5 - Local Conditions,"Birmingham-Hoover, AL",Alabama,Jefferson
4/10/20,6.8,ug/m3 LC,28,PM2.5 - Local Conditions,"Birmingham-Hoover, AL",Alabama,Jefferson
4/11/20,13.2,ug/m3 LC,53,PM2.5 - Local Conditions,"Birmingham-Hoover, AL",Alabama,Jefferson
4/12/20,15.9,ug/m3 LC,59,PM2.5 - Local Conditions,"Birmingham-Hoover, AL",Alabama,Jefferson
4/13/20,4.8,ug/m3 LC,20,PM2.5 - Local Conditions,"Birmingham-Hoover, AL",Alabama,Jefferson
4/14/20,5.9,ug/m3 LC,25,PM2.5 - Local Conditions,"Birmingham-Hoover, AL",Alabama,Jefferson
4/15/20,7.9,ug/m3 LC,33,PM2.5 - Local Conditions,"Birmingham-Hoover, AL",Alabama,Jefferson
4/16/20,15.9,ug/m3 LC,59,PM2.5 - Local Conditions,"Birmingham-Hoover, AL",Alabama,Jefferson
4/17/20,12.8,ug/m3 LC,52,PM2.5 - Local Conditions,"Birmingham-Hoover, AL",Alabama,Jefferson
4/18/20,8.1,ug/m3 LC,34,PM2.5 - Local Conditions,"Birmingham-Hoover, AL",Alabama,Jefferson
4/19/20,7.3,ug/m3 LC,30,PM2.5 - Local Conditions,"Birmingham-Hoover, AL",Alabama,Jefferson
4/20/20,5.4,ug/m3 LC,23,PM2.5 - Local Conditions,"Birmingham-Hoover, AL",Alabama,Jefferson
4/21/20,9.3,ug/m3 LC,39,PM2.5 - Local Conditions,"Birmingham-Hoover, AL",Alabama,Jefferson
4/22/20,10.5,ug/m3 LC,44,PM2.5 - Local Conditions,"Birmingham-Hoover, AL",Alabama,Jefferson
4/23/20,7.8,ug/m3 LC,33,PM2.5 - Local Conditions,"Birmingham-Hoover, AL",Alabama,Jefferson
4/24/20,5.7,ug/m3 LC,24,PM2.5 - Local Conditions,"Birmingham-Hoover, AL",Alabama,Jefferson
4/25/20,5.8,ug/m3 LC,24,PM2.5 - Local Conditions,"Birmingham-Hoover, AL",Alabama,Jefferson
