,City,Country,Pop,Lat,Lon
403,Sivas,TR,264022,39.74833,37.01611
404,Istanbul,TR,14804116,41.01384,28.94966
405,Denizli,TR,313238,37.77417,29.0875
406,Erzurum,TR,420691,39.90861,41.27694
407,Cochabamba,BO,900414,-17.3895,-66.1568
408,ThessalonÃ­ki,GR,354290,40.64361,22.93086
409,Athens,GR,664046,37.98376,23.72784
410,Yangon,MM,4477638,16.80528,96.15611
411,Kathmandu,NP,1442271,27.70169,85.3206
412,Pokhara,NP,200000,28.26689,83.96851
413,Biratnagar,NP,182324,26.45505,87.27007
414,Kampala,UG,1353189,0.31628,32.58219
415,Ho Chi Minh City,VN,3467331,10.82302,106.62965
416,Huáº¿,VN,287217,16.4619,107.59546
417,Hanoi,VN,1431270,21.0245,105.84117
418,Haiphong,VN,602695,20.86481,106.68345
419,Háº¡ Long,VN,148066,20.95045,107.07336
420,Pristina,XK,550000,42.67272,21.16688
421,Addis Ababa,ET,2757729,9.02497,38.74689
422,Nur-Sultan,KZ,345604,51.1801,71.44598
423,Almaty,KZ,2000900,43.25667,76.92861
424,Kaunas,LT,374643,54.90272,23.90961
425,Baguio,PH,272714,16.41639,120.59306
426,Manila,PH,1600000,14.6042,120.9822
427,Butuan,PH,309709,8.94917,125.54361
428,Zamboanga,PH,457623,6.91028,122.07389
429,Karachi,PK,11624219,24.8608,67.0104
430,Peshawar,PK,1218773,34.008,71.57849
431,Islamabad,PK,601600,33.72148,73.04329
432,Lahore,PK,6310888,31.558,74.35071
433,San Juan,PR,418140,18.46633,-66.10572
434,Tashkent,UZ,1978028,41.26465,69.21627
435,ZÃ¼rich,CH,341730,47.36667,8.55
436,Stuttgart,DE,589793,48.78232,9.17702
437,MÃ¼nster,DE,270184,51.96236,7.62571
438,KÃ¶ln,DE,963395,50.93333,6.95
439,Kassel,DE,194501,51.31667,9.5
440,Karlsruhe,DE,283799,49.00937,8.40444
441,Mainz,DE,184997,49.98419,8.2791
442,Dresden,DE,486854,51.05089,13.73832
443,Munich,DE,1260391,48.13743,11.57549
444,Berlin,DE,3426354,52.52437,13.41053
445,DÃ¼sseldorf,DE,573057,51.22172,6.77616
446,Freiburg,DE,215966,47.9959,7.85222
447,Wiesbaden,DE,272432,50.08258,8.24932
448,Hannover,DE,515140,52.37052,9.73322
449,Augsburg,DE,259196,48.37154,10.89851
450,Darmstadt,DE,140385,49.87167,8.65027
451,Potsdam,DE,145292,52.39886,13.06566
452,Hamburg,DE,1739117,53.55073,9.99302
453,Conakry,GN,1767200,9.53795,-13.67729
454,Tel Aviv,IL,432892,32.08088,34.78057
455,Haifa,IL,267300,32.81841,34.9885
456,Jerusalem,IL,801000,31.76904,35.21633
457,Ashdod,IL,224656,31.79213,34.64966
458,Netanya,IL,171676,32.33291,34.85992
459,Ashkelon,IL,105995,31.66926,34.57149
460,Petaáº– Tiqwa,IL,200000,32.08707,34.88747
461,Baghdad,IQ,7216000,33.34058,44.40088
462,Fukuoka,JP,1392289,33.6,130.41667
463,Kanazawa,JP,458937,36.6,136.61667
464,Kumamoto,JP,680423,32.80589,130.69181
465,Akita,JP,320069,39.71667,140.11667
466,Kochi,JP,335570,33.55,133.53333
467,Gifu-shi,JP,397714,35.42291,136.76039
468,Kyoto,JP,1459640,35.02107,135.75385
469,Hiroshima,JP,1143841,34.4,132.45
470,Shizuoka,JP,701561,34.98333,138.38333
471,Chiba,JP,919729,35.6,140.11667
472,Sapporo,JP,1883027,43.06667,141.35
473,Yokohama,JP,3574443,35.43333,139.65
474,Tokyo,JP,8336599,35.6895,139.69171
475,Saitama,JP,1193350,35.90807,139.65657
476,Naha,JP,300795,26.21667,127.68333
477,Nagasaki,JP,410204,32.75,129.88333
478,Toyama,JP,325532,36.7,137.21667
479,Niigata,JP,505272,37.88637,139.00589
480,Nara-shi,JP,367353,34.68505,135.80485
481,Okayama,JP,639652,34.65,133.93333
482,Sendai,JP,1063103,38.26667,140.86667
483,Osaka,JP,2592413,34.69374,135.50218
484,Miyazaki,JP,311203,31.91667,131.41667
485,Matsuyama,JP,443322,33.83916,132.76574
486,Wakayama,JP,351000,34.23333,135.16667
487,Takamatsu,JP,334223,34.33333,134.05
488,Nagoya,JP,2191279,35.18147,136.90641
489,ÅŒita,JP,448907,33.23333,131.6
490,Kobe,JP,1528478,34.6913,135.183
491,Nagano,JP,360176,36.65,138.18333
492,Utsunomiya,JP,449865,36.56667,139.88333
493,Kagoshima,JP,555352,31.56667,130.55
494,Lima,PE,7737002,-12.04318,-77.02824
495,Å�Ã³dÅº,PL,768755,51.77058,19.47395
496,TarnÃ³w,PL,117799,50.01381,20.98698
497,GdaÅ„sk,PL,461865,54.35227,18.64912
498,Katowice,PL,317316,50.25841,19.02754
499,PoznaÅ„,PL,570352,52.40692,16.92993
500,Rybnik,PL,142510,50.09713,18.54179
501,Szczecin,PL,407811,53.42894,14.55302
502,Kielce,PL,208598,50.87033,20.62752
503,Warsaw,PL,1702139,52.22977,21.01178
504,Bydgoszcz,PL,366452,53.1235,18.00762
505,Zabrze,PL,192177,50.32492,18.78576
506,WrocÅ‚aw,PL,634893,51.1,17.03333
507,PÅ‚ock,PL,127474,52.54682,19.70638
508,KrakÃ³w,PL,755050,50.06143,19.93658
509,Salzburg,AT,153377,47.79941,13.04399
510,Linz,AT,204846,48.30639,14.28611
511,Innsbruck,AT,132493,47.26266,11.39454
512,Vienna,AT,1691468,48.20849,16.37208
513,Graz,AT,222326,47.06667,15.45
514,Hong Kong,HK,7012738,22.27832,114.17469
515,Jakarta,ID,8540121,-6.21462,106.84513
516,Ashgabat,TM,727700,37.95,58.38333
517,Singapore,SG,3547809,1.28967,103.85007
518,Chon Buri,TH,219164,13.3622,100.98345
519,Chiang Mai,TH,200952,18.79038,98.98468
520,Nakhon Pathom,TH,117927,13.8196,100.04427
521,Rayong,TH,106737,12.68095,101.25798
522,Lampang,TH,156139,18.29232,99.49277
523,Bangkok,TH,5104476,13.75398,100.50144
524,Samut Prakan,TH,388920,13.59934,100.59675
525,Dushanbe,TJ,679400,38.53575,68.77905
526,Saint-Denis,RE,137195,-20.88231,55.4504
527,Kabul,AF,3043532,34.52813,69.17233
528,Abidjan,CI,3677115,5.35444,-4.00167
529,Jeonju,KR,711424,35.82194,127.14889
530,Seoul,KR,10349312,37.566,126.9784
