,Date,Country,City,Specie,count,min,max,median,variance
170734,4/22/2020,SE,Uppsala,pm25,36,6.0,25.0,12.0,234.73
170735,4/23/2020,SE,Uppsala,pm25,36,8.0,17.0,12.0,61.61
170736,1/8/2020,SE,Uppsala,pm25,46,8.0,42.0,16.0,1379.37
170737,3/3/2020,SE,Uppsala,pm25,23,14.0,30.0,21.0,243.56
170738,4/13/2020,SE,Uppsala,pm25,48,2.0,18.0,6.0,193.47
170739,1/22/2020,SE,Uppsala,pm25,32,3.0,61.0,20.0,4329.34
170740,3/20/2020,SE,Uppsala,pm25,48,6.0,26.0,9.0,231.9
170741,3/29/2020,SE,Uppsala,pm25,46,5.0,15.0,7.0,68.64
170742,4/7/2020,SE,Uppsala,pm25,48,18.0,74.0,59.0,2658.29
170743,4/4/2020,SE,Uppsala,pm25,48,6.0,32.0,9.0,632.32
170744,1/6/2020,SE,Uppsala,pm25,45,4.0,29.0,9.0,582.49
170745,2/9/2020,SE,Uppsala,pm25,48,13.0,48.0,33.0,660.32
170746,2/19/2020,SE,Uppsala,pm25,47,10.0,35.0,16.0,323.68
170747,3/18/2020,SE,Uppsala,pm25,48,3.0,25.0,13.0,566.36
170748,1/11/2020,SE,Uppsala,pm25,46,6.0,51.0,23.0,1283.83
170749,1/26/2020,SE,Uppsala,pm25,46,7.0,21.0,9.0,153.53
170750,2/29/2020,SE,Uppsala,pm25,48,11.0,39.0,16.0,269.2
170751,4/11/2020,SE,Uppsala,pm25,48,4.0,20.0,8.0,106.31
170752,2/17/2020,SE,Uppsala,pm25,47,5.0,48.0,13.0,924.49
170753,1/30/2020,SE,Uppsala,pm25,48,5.0,47.0,30.0,716.38
170754,2/20/2020,SE,Uppsala,pm25,48,8.0,26.0,13.0,206.36
170755,2/21/2020,SE,Uppsala,pm25,48,2.0,33.0,14.0,537.87
170756,2/26/2020,SE,Uppsala,pm25,46,5.0,15.0,10.0,70.38
170757,2/13/2020,SE,Uppsala,pm25,48,3.0,18.0,6.0,179.46
170758,3/9/2020,SE,Uppsala,pm25,47,12.0,48.0,30.0,1258.88
170759,3/28/2020,SE,Uppsala,pm25,48,8.0,59.0,37.0,5179.78
170760,2/12/2020,SE,Uppsala,pm25,48,4.0,26.0,12.0,265.71
170761,4/18/2020,SE,Uppsala,pm25,48,6.0,29.0,9.0,264.4
170762,4/19/2020,SE,Uppsala,pm25,48,5.0,25.0,7.0,281.8
170763,12/30/2019,SE,Uppsala,pm25,41,12.0,57.0,21.0,2380.61
170764,12/31/2019,SE,Uppsala,pm25,45,2.0,58.0,8.0,3378.89
170765,1/1/2020,SE,Uppsala,pm25,45,6.0,63.0,16.0,2672.53
170766,1/21/2020,SE,Uppsala,pm25,42,4.0,54.0,13.0,2254.27
170767,4/5/2020,SE,Uppsala,pm25,44,7.0,28.0,13.0,354.65
170768,1/14/2020,SE,Uppsala,pm25,45,12.0,34.0,20.0,455.59
170769,2/10/2020,SE,Uppsala,pm25,48,5.0,24.0,11.0,209.5
170770,3/13/2020,SE,Uppsala,pm25,48,4.0,28.0,15.0,400.95
170771,3/26/2020,SE,Uppsala,pm25,48,37.0,62.0,54.0,407.59
170772,4/10/2020,SE,Uppsala,pm25,48,2.0,19.0,6.0,132.44
170773,4/17/2020,SE,Uppsala,pm25,48,4.0,14.0,9.0,46.02
170774,2/5/2020,SE,Uppsala,pm25,48,4.0,14.0,9.0,83.81
170775,3/10/2020,SE,Uppsala,pm25,48,19.0,54.0,33.0,659.29
170776,3/23/2020,SE,Uppsala,pm25,48,7.0,20.0,12.0,138.14
170777,3/25/2020,SE,Uppsala,pm25,33,21.0,62.0,50.0,1393.77
170778,3/15/2020,SE,Uppsala,pm25,47,7.0,20.0,12.0,204.39
170779,1/16/2020,SE,Uppsala,pm25,46,8.0,36.0,24.0,824.66
170780,2/16/2020,SE,Uppsala,pm25,47,3.0,31.0,11.0,352.36
170781,4/3/2020,SE,Uppsala,pm25,48,5.0,36.0,9.0,768.01
